Stage Name,Real Name,Group,Instagram,Profile Pic,Kpopping Profile,Bio,ID

26,Kim Jihoon,MASC,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_26.png,https://kpopping.com/profiles/artist/1065-26,26 is a Korean rapper and dancer. He is a member of the Korean pop/hip-hop boy group MASC.,0
A-Day,Song Han Gyeom,Seven O’Clock,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_a-day(1).png,https://kpopping.com/profiles/artist/1105-A-Day,A-Day is a South Korean singer and member of the boy group Seven O-Clock under Staro Entertainment. He partecipated in MIXNINE and ranked 6th. The group's debut plans were cancelled.,1
A.C.E,Kim Dae Sung,MASC,https://www.instagram.com/aceseaaiite/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_ace(3).png,https://kpopping.com/profiles/artist/4829-A-C-E,A.C.E is a member of the boy group MASC. He is also an underground rapper and writes many songs.,2
Aaron,Park Aaron,W24,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Aaron_default_silhouette.png,https://kpopping.com/profiles/artist/6919-Aaron,Aaron is a member of the South Korean boy group W24 (World 24 Hours).,3
ACE,Jang Woo Young,VAV,https://www.instagram.com/ace.vav/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_ace2.png,https://kpopping.com/profiles/artist/1152-ACE,ACE is a Korean pop artist and member of the group VAV. He can speak Korean and English.,4
Acrux Jihyuk,Song Hunyong,Supernova,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Acrux_Jihyuk_default_silhouette.png,https://kpopping.com/profiles/artist/6978-Acrux-Jihyuk,Jihyuk is a member of the South Korean boy group Supernova.,5
Aeji,Kwon Ae Ji,HashTag,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_aeji.png,https://kpopping.com/profiles/artist/4006-Aeji,Aeji is a member of the girl group Hashtag.,6
Ah Young,Cho Ja-young,Dal Shabet,https://www.instagram.com/a_young91/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ahyoung(1).png,https://kpopping.com/profiles/artist/367-Ah-Young,"Ah Young is a member of the girl group, Dal Shabet, and is currently on her acting debut. Ayoung’s contract with Happy Face Entertainment expired in December 2017. Up to now, it was not announced if she has officially left the band.",7
Ahin,Lee Ahin,Momoland,https://www.instagram.com/momoland_official/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_Ahin350x400.png,https://kpopping.com/profiles/artist/609-Ahin,"Ahin is the main vocalist of Momoland and she has lived in China for most of her life. She is fluent in Mandarin, Korea, and English.",8
Ahra,Go Ahra,Favorite,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose-ahra.png,https://kpopping.com/profiles/artist/3668-Ahra,Ahra is a member of the girl group Favorite. She is a former “K-Pop Star 6” contestant and participated in MIXNINE.,9
Ahyoung,Lee Ah Hyung,P.O.P,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ahyoung.png,https://kpopping.com/profiles/artist/4391-Ahyoung,"Ahyoung is a member of P.O.P. She does taekwondo, gymnastics, squash, yoga and she is good at rope jumping.",10
Ailee,Lee Ye Jin,,http://instagram.com/aileeonline,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Ailee_Pose_ailesque.png,https://kpopping.com/profiles/artist/95-Ailee,"Amy Lee, better known by her stage name Ailee, is a Korean-American singer-songwriter based in South Korea.",11
Ain,Kim A In,TST,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ain.png,https://kpopping.com/profiles/artist/1127-Ain,Ain is a South Korean singer. He is the leader of the Korean pop boy group TOP SECRET.,12
Aini,unknown,PINK FANTASY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Aini_default_silhouette.png,https://kpopping.com/profiles/artist/6751-Aini,Aini is a member of the South Korean girl group Pink Fantasy.,13
Alex,Alexandra Reid,RANIA,https://www.instagram.com/thealexreid/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_picsart_02_15_11_32_48_by_thunderingkitsune-dazduuz_1.png,https://kpopping.com/profiles/artist/965-Alex,Alexandra Reid is a fomer BP RaNia member. She left BP RaNia in August 2017 and will no longer continue her music career in the K-Pop industry.,14
Alex,Alexander Kim,High4,https://www.instagram.com/_imlxx/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_alex.png,https://kpopping.com/profiles/artist/1017-Alex,"Alex is a Korean pop singer. He is the rapper, visual and main dancer for HIGH4.",15
Alice,Song Joo-hee,Hello Venus,https://www.instagram.com/hv_alice/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Alice_Pose_alicesquare.png,https://kpopping.com/profiles/artist/71-Alice,Alice (앨리스) is a Korean Pop singer. She is the Main Vocalist and Leader (formerly Lead Vocalist) of the girl group HELLO VENUS.,16
Amber,Liu Yi Yun,f(x),http://instagram.com/ajol_llama,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_amber.png,https://kpopping.com/profiles/artist/96-Amber,"Amber is an American rapper and singer currently active
in South Korea. She is a member of the South Korean girl
group f(x). She debuted as a solo artist in February 2015
with the release of her EP, Beautiful.",17
Anda,Won Minji,,http://instagram.com/_AND_A,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Anda_Pose_andasquare.png,https://kpopping.com/profiles/artist/108-Anda,ANDA (안다) is a Korean pop singer who debuted in 2012 under Trophy Entertainment. In 2015 she restarted her musical activities after a hiatus lasted one year.,18
Andy,Lee Sun Ho,Shinhwa,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_andy(1).png,https://kpopping.com/profiles/artist/1116-Andy,"Andy is a South Korean rapper and the youngest in the six-member boy band Shinhwa. Besides rapping for his band, Andy has ventured out into television acting, musicals, and solo singing. Andy is also the producer of duo Jumper and boy bands Teen Top, 100% and UP10TION.",19
Anne,Kim Seung Yeon,S.I.S,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_anne.png,https://kpopping.com/profiles/artist/2359-Anne,Anne is a member of girl group S.I.S. She is a participant on The Unit.,20
Anne,Lee Seoyoung,GWSN,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_GWSN_anne1_350.png,https://kpopping.com/profiles/artist/5850-Anne,Anne is a South Korean singer and rapper under Kiwi Pop.,21
Anthony,Anthony Lo,VARSITY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_anthony.png,https://kpopping.com/profiles/artist/4531-Anthony,Anthony is a Chinese-American member of Varsity.,22
Arang,unknown,PINK FANTASY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Arang_default_silhouette.png,https://kpopping.com/profiles/artist/6757-Arang,Arang is a member of the South Korean girl group Pink Fantasy.,23
Areum,Lee Areum,,http://instagram.com/army1004#,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Areum_Pose_squareaerum.png,https://kpopping.com/profiles/artist/171-Areum,Areum (아름) is a Korean pop singer. She is a member of LAY.T.,24
Arin,Choi Yewon,Oh My Girl,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_in.png,https://kpopping.com/profiles/artist/439-Arin,Arin is the maknae of the group and is the winner of WM's auditions in 2013. She is the 2nd tallest member of OH MY GIRL.,25
Aron,Kwak Young Min,NU'EST,https://www.instagram.com/nuestaron/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_aron___nu__est_png_by_sellscarol-d5jod9z.png,https://kpopping.com/profiles/artist/730-Aron,"Aron is a Korean-American singer, rapper, and DJ. He
debuted in 2012 as a sub-vocalist and sub-rapper of South
Korean boy group NU'EST. He is the oldest member of
NU'EST, and is the group's English spokesperson.",26
Aryoung,Lee Ah Ryoung,GIRLSGIRLS,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_80843_original_2.png,https://kpopping.com/profiles/artist/974-Aryoung,"Aryoung is a member of the girl group GIRLSGIRLS. She’s
a former CCM/MBK trainee.",27
Ash B,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ash-b.png,https://kpopping.com/profiles/artist/2222-Ash-B,,28
Ashley,Choi Bitna,Ladies' Code,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ashley.png,https://kpopping.com/profiles/artist/1639-Ashley,"Ashley is a singer under Polaris Entertainment. Leader of the group Lades' Code.
She was discovered trough her youtube channel Ashleych0i were she uploaded covers (https://www.youtube.com/user/ashleych0i/videos).
Ashley is a former Cube Entertainment trainee.
Her obsession is Sailor Moon and loves sweet potatoes.",29
Asol,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_asol.png,https://kpopping.com/profiles/artist/2223-Asol,"Asol is a Korean rapper, she is known for the Korean program ""Show me the money"", she was the only female rapper selected for the SMTM team for the six season of the show.
She started writing her own music at the age of sixteen and at eighteen distributed through a music distribution platform her first release ""Young Kobe G-mix""",30
Ato,Park SungHyun,Be.A,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ato(1).png,https://kpopping.com/profiles/artist/2019-Ato,Ato is a member of the boy group Be.A. He is a vocalist.,31
Aurora,Yang Lan,NATURE,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bnbn.png,https://kpopping.com/profiles/artist/5412-Aurora,Aurora debuted with Nature on August 3 2018 under N.CH World.,32
Ayno,Noh Yoonho,VAV,https://www.instagram.com/ayno.vav/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ayno.png,https://kpopping.com/profiles/artist/1153-Ayno,"Ayno is a member of VAV. He is a former Starship Entertainment trainee and was a contestant of NO.MERCY, but got eliminated in the top 10.",33
B-Bomb,Lee Min Hyuk,Block B,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bb.png,https://kpopping.com/profiles/artist/542-B-Bomb,B-Bomb is part of the Block B subunit Bastarz with fellow members P.O. and U-Kwon.,34
B-Joo,Kim Byung Joo,Topp Dogg,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(27).png,https://kpopping.com/profiles/artist/579-B-Joo,B-Joo is an ex-member of the boy group ToppDogg. Presently he is a member of the reformed 5-member group XENO-T. He is a vocalist and lead dancer.,35
B:eta,Ji Ha Young,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_beta.png,https://kpopping.com/profiles/artist/1852-B-eta,B:eta is a Korean pop singer. He is a member of the boy group AlphaBAT.,36
B.I,Kim Hanbin,iKON,https://www.instagram.com/shxxbi131/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose(22).png,https://kpopping.com/profiles/artist/1547-B-I,"B.I is a member and leader of boy group iKON. He appeared on Show Me The Money 3, and YG says he will be the next G-Dragon.",37
B.Nish,Yubon,D.I.P,https://www.instagram.com/bon_and_b.nish/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bnish(1).png,https://kpopping.com/profiles/artist/1789-B-Nish,,38
B.S.,Lee Yeong Su,14U,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bs.png,https://kpopping.com/profiles/artist/4595-B-S,B.S. is a member of 14U. He is the leader of the Xplosive unit. B.S. stands for Be Special.,39
B.Top,Park Hyojung,Zetta,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/B(1).png,https://kpopping.com/profiles/artist/1759-B-Top,B.Top is the leader of Zetta,40
